author,published,summary,id,is_com_or_sub,link,header,title
Josef Graf(Josef Graf),2022-05-09 09:55:57+00:00,"Zum x-ten Mal machten die Joker der Luzerner den Unterschied aus. Trainer Mario Frick macht schlichtweg einen Superjob. Beim Restprogramm der Beteiligten ist es sehr gut möglich, dass Luzern am Schluss nicht mehr auf dem Barrageplatz liegt. GC wird wohl kaum mehr punkten, weshalb der FCL noch mindestens 4 Punkte braucht, was durchaus machbar erscheint.",https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,com,https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,,
Stefan Gisler(GiJaBra),2022-05-08 21:22:17+00:00,"Luzern überrascht nun doch noch, wäre cool wenn sie GC noch abfangen würden.",https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,com,https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,,
Ueli Hugetober (Ueli.67),2022-05-09 07:02:54+00:00,"Nein, wäre es nicht!",https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,com,https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,,
Francis Waeber(Francis Waeber),2022-05-08 17:34:46+00:00,"Wau, das war nicht zu erwarten. Wie schonmal geschrieben, ist auch Sion keineswegs weg vom ""Haken"". Einmal mehr gilt: Da soll nochmal eine/r behaupten die Liga sei ""langweilig"".....;-))",https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,com,https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,,
Marco Meier (ma.meier),2022-05-08 19:52:40+00:00,"Die Spitze war langweilig in den letzten Jahren! Aber diese Saison ist jetz wirklich sehr spannend und überraschend, das gefällt.",https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,com,https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,,
Matthias Zimmermann (_schwuppidup_),2022-05-08 19:53:40+00:00,"Richtig. Ber huptsache, man muss völlig ungezwungen, aber krampfhaft den modus ändern...",https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,com,https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,,
Francis Waeber (Francis Waeber),2022-05-08 21:42:02+00:00,@ Zimmermann - Hää???....;-)),https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,com,https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,,
Daniel Hüppin (Daniel Hüppin),2022-05-09 05:14:03+00:00,"@Francis Waeber: Was genau war nicht zu erwarten? Also dass Luzern gegen Servette gewinnt, ist für mich keine grosse Überraschung, wenn man die Resultate der beiden Mannschaften betrachtet. Servette hat zuletzt doch eine kleine Niederlagenserie hingelegt. Die können wohl froh sein, dass ihr Polster genug gross ist, um nicht auch noch in Gefahr zu geraten, in die Barrage zu müssen.",https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,com,https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,,
Dennis Gutknecht(Federer_IST_Gott),2022-05-08 17:19:19+00:00,"Damit ist eines klar:Wer auch immer in die Barrage kommt, DAS Duell wird packend!",https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,com,https://www.srf.ch/sport/fussball/super-league/4-0-heimsieg-gegen-servette-luzern-mindestens-in-der-barrage-und-nur-noch-3-punkte-hinter-gc,,
Dorothee Meili(DoX.98),2022-04-24 20:27:44+00:00,"Also, ich will ja hier die Männerrunde nicht weiter stören, aber kann mir trotzdem noch einer erklären, was es mit diesem schwarzen BH auf sich hat. Warum ich (nicht nur beim Sport) trotz einiger Reduktion in diesen Bereichen einen trage, weiss ich, aber da? Sind da irgendwo Kontroll-Chips drin oder sonst was zielführendes? - Danke für eine mögliche Nachhilfe und freundliche Grüsse",https://www.srf.ch/sport/fussball/super-league/basel-schlaegt-luzern-mit-3-0-spielverderber-stocker-fcz-meisterparty-muss-noch-warten,com,https://www.srf.ch/sport/fussball/super-league/basel-schlaegt-luzern-mit-3-0-spielverderber-stocker-fcz-meisterparty-muss-noch-warten,,
