title,summary,author,is_com_or_sub,link,id,published,published_parsed
«Polarstar»-Besitzer sucht Nachfolger für Revival der Partyfoto-Webseite,"Schaumpartys, Fasnachtsbälle, viel Alkohol und nackte Haut: Auf der Webseite «Polarstar» sind Partys aus den 2000er-Jahren digital verewigt. 2015 wurde der Betrieb der Seite eingestellt – nun wünscht sich Mitinhaber Izedin Arnautovic einen Nachfolger.",,sub,https://www.20min.ch/730773678727,730773678727,"Mon, 09 May 2022 17:09:30 GMT","time.struct_time(tm_year=2022, tm_mon=5, tm_mday=9, tm_hour=17, tm_min=9, tm_sec=30, tm_wday=0, tm_yday=129, tm_isdst=0)"
Bei Enkeltrick-Betrügern klickten die Handschellen,"Bei einer geplanten Geldübergabe konnten zivile Fahnder der Zuger Polizei ein Betrüger-Paar festnehmen, das einer Seniorin 70’000 Franken abnehmen wollte. Das Paar sitzt in Untersuchungshaft.",,sub,https://www.20min.ch/577039134851,577039134851,"Mon, 09 May 2022 15:44:54 GMT","time.struct_time(tm_year=2022, tm_mon=5, tm_mday=9, tm_hour=15, tm_min=44, tm_sec=54, tm_wday=0, tm_yday=129, tm_isdst=0)"
Servette-Imeri fliegt innert einer Minute mit Gelb-Rot vom Platz,Der FC Luzern darf sich wieder Hoffnungen auf den direkten Ligaerhalt machen. Nach dem 4:0 gegen Servette beträgt der Rückstand auf GC nur noch drei Punkte. (Video: Blue),,sub,https://www.20min.ch/811526744044,811526744044,"Sun, 08 May 2022 17:31:24 GMT","time.struct_time(tm_year=2022, tm_mon=5, tm_mday=8, tm_hour=17, tm_min=31, tm_sec=24, tm_wday=6, tm_yday=128, tm_isdst=0)"
In steilem Gelände – Ortsunkundiger Fahrer verfährt sich und verunfallt,"Verbrechen, Unfälle und Fahndungen: Die neuesten Polizeimeldungen aus der Zentralschweiz.",,sub,https://www.20min.ch/897536422260,897536422260,"Sun, 08 May 2022 10:17:25 GMT","time.struct_time(tm_year=2022, tm_mon=5, tm_mday=8, tm_hour=10, tm_min=17, tm_sec=25, tm_wday=6, tm_yday=128, tm_isdst=0)"
Stadtfest will auf Bargeld verzichten – und löst eine Welle der Empörung aus,Das Stadtfest soll dieses Jahr bargeldlos stattfinden. Diese vermeintlich harmlose Entscheidung hat in Luzern nun unverhofft zu einer Grundsatzdebatte geführt: Braucht es das Bargeld noch oder ist es ein Muss?,,sub,https://www.20min.ch/402438287701,402438287701,"Sat, 07 May 2022 16:22:44 GMT","time.struct_time(tm_year=2022, tm_mon=5, tm_mday=7, tm_hour=16, tm_min=22, tm_sec=44, tm_wday=5, tm_yday=127, tm_isdst=0)"
"Mann kauft 91 Unfallautos, bezahlt sie nicht und verkauft sie weiter",Fast 100 Autos kaufte ein Mann und bezahlte sie nicht. Dafür kriegt er vom Kriminalgericht eine Freiheitsstrafe von zweieinhalb Jahren und einen Landesverweis.,,sub,https://www.20min.ch/709927065041,709927065041,"Fri, 06 May 2022 02:46:56 GMT","time.struct_time(tm_year=2022, tm_mon=5, tm_mday=6, tm_hour=2, tm_min=46, tm_sec=56, tm_wday=4, tm_yday=126, tm_isdst=0)"
«Ich würde nicht mehr zu viel Geld in neue Ampeln oder Kreisel investieren»,"Die Leserinnen und Leser möchten die Luzerner Verkehrsprobleme mit unterschiedlichen Vorschlägen beheben. Ein Verkehrsexperte rät aber zu Geduld, weil in einigen Jahren intelligente Fahrzeuge die Problematik lösen würden.",,sub,https://www.20min.ch/139019297679,139019297679,"Thu, 05 May 2022 18:39:26 GMT","time.struct_time(tm_year=2022, tm_mon=5, tm_mday=5, tm_hour=18, tm_min=39, tm_sec=26, tm_wday=3, tm_yday=125, tm_isdst=0)"
Rad löst sich auf A4 und verursacht Totalschaden an Rolls Royce,Kurioser Vorfall auf der Autobahn A4 bei Risch Rotkreuz ZG: Das Rad eines Autos machte sich selbstständig und beschädigte auf der Gegenfahrbahn drei Autos.,,sub,https://www.20min.ch/126013815341,126013815341,"Thu, 05 May 2022 09:28:39 GMT","time.struct_time(tm_year=2022, tm_mon=5, tm_mday=5, tm_hour=9, tm_min=28, tm_sec=39, tm_wday=3, tm_yday=125, tm_isdst=0)"
Autofahrer (66) stirbt bei Frontalkollision mit Lastwagen,Zwischen Sarmenstorf und Hilfikon ist ein Auto am Mittwoch auf die Gegenfahrbahn geraten. Dort prallte es mit einem LKW zusammen. Der Autofahrer kam ums Leben.,,sub,https://www.20min.ch/543508269314,543508269314,"Thu, 05 May 2022 06:05:52 GMT","time.struct_time(tm_year=2022, tm_mon=5, tm_mday=5, tm_hour=6, tm_min=5, tm_sec=52, tm_wday=3, tm_yday=125, tm_isdst=0)"
"«Jahrzehntelang hiess es, Kreisel seien die beste Lösung»","Die Strassen des Kantons Luzern sind zunehmend überlastet. Um das Problem in den Griff zu bekommen, sollen Kreisel wieder zu Kreuzungen mit Ampeln umgebaut werden. Die Pläne stossen auf Unverständnis.",,sub,https://www.20min.ch/270821781373,270821781373,"Thu, 05 May 2022 02:45:44 GMT","time.struct_time(tm_year=2022, tm_mon=5, tm_mday=5, tm_hour=2, tm_min=45, tm_sec=44, tm_wday=3, tm_yday=125, tm_isdst=0)"
"Diese Software soll der Luzerner Polizei helfen, Verbrechen vorauszusehen","Predictive Policing ist das Schlagwort der (Polizei-)Stunde. Die Polizei wird vor Verbrechen gewarnt, bevor sie überhaupt begangen wurden. Möglich macht das eine Software, die Luzern nun einsetzen will.",,sub,https://www.20min.ch/289491498116,289491498116,"Wed, 04 May 2022 02:54:29 GMT","time.struct_time(tm_year=2022, tm_mon=5, tm_mday=4, tm_hour=2, tm_min=54, tm_sec=29, tm_wday=2, tm_yday=124, tm_isdst=0)"
Autofahrer (55) bremst fahrunfähig mehrere Fahrzeuge aus – zwei Raser festgenommen,"Die Luzerner Polizei verhaftete in den letzten Tagen vorübergehend drei Autofahrer. Zwei waren so viel zu schnell, dass sie als Raser gelten, einer bremste auf der Autobahn mehrere andere Autofahrer aus.",,sub,https://www.20min.ch/489523312923,489523312923,"Tue, 03 May 2022 08:42:14 GMT","time.struct_time(tm_year=2022, tm_mon=5, tm_mday=3, tm_hour=8, tm_min=42, tm_sec=14, tm_wday=1, tm_yday=123, tm_isdst=0)"
Es mangelt an Interessenten für Immobilien auf dem Bürgenstock,"Neu gebaute Wohnungen und Villen auf dem Bürgenstock stehen seit Jahren leer. Verkaufsstart aller 67 Residences werde erst erfolgen, wenn «alle Vorbereitungen» beendet seien. Einen Termin gibt es nicht.",,sub,https://www.20min.ch/424914714985,424914714985,"Mon, 02 May 2022 19:48:46 GMT","time.struct_time(tm_year=2022, tm_mon=5, tm_mday=2, tm_hour=19, tm_min=48, tm_sec=46, tm_wday=0, tm_yday=122, tm_isdst=0)"
So haben die Einsatzkräfte die Zuger Meisternacht erlebt,Der EVZ hat die Serie gedreht und ist erneut Schweizer Eishockeymeister. Über 6000 Zuger feierten auf dem Arenaplatz. Nicht mitfeiern durften Polizei- und Reinigungskräfte und trotzdem waren sie mittendrin im Trubel. So haben sie die Meisternacht erlebt.,,sub,https://www.20min.ch/489822661522,489822661522,"Mon, 02 May 2022 17:45:54 GMT","time.struct_time(tm_year=2022, tm_mon=5, tm_mday=2, tm_hour=17, tm_min=45, tm_sec=54, tm_wday=0, tm_yday=122, tm_isdst=0)"
