author,published,summary,is_com_or_sub,link,id,title,published_parsed
Dieti44,2022-05-08 00:15:00+00:00,Offenbar soll der gläserne Bürger mit allen möglichen Tricks zustande kommen.,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
BlackSabbath,2022-05-08 00:10:00+00:00,Denkt denn hier auch irgendjemand mal an die Kinder ?,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Weihnachtshase,2022-05-07 23:10:00+00:00,"Wer mein Bargeld nicht will, kann es bleiben lassen.",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
St.Gallerli,2022-05-07 22:37:00+00:00,"Bravo, tolle Entscheidung! ",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Scharrukin,2022-05-07 22:27:00+00:00,Luzern ist schon lange eine Stadt die ich meide. Und das aus gutem Grund ,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
SCHAUKELN,2022-05-07 22:14:00+00:00,Da geht man einfach nicht hin. Immer nur noch befehlen und uns vorschreiben ob wir einatmen türfen oder nicht. Rot/Grüne Stadt muss nichts mehr haben. ,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Euer_Hochwohlgeboren,2022-05-07 21:55:00+00:00,Aus solchen Gründen zahle ich (ausser im Denner mit Twint) alles bar. Ich wertde möglichst wenige Datenspuren hinterlassen.,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
CCZA,2022-05-07 21:45:00+00:00,Bargeld ist nicht mehr zeitgemäss. Wir sollten in die Zukunft schauen.,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Hoko67,2022-05-07 21:31:00+00:00,Bargeld hat auch bei jüngeren einen wichtigen Stellenwert und man hat über die Ausgaben besseren Überblick Hegel ob jung oder alt. Wen sie kein Häfele nehmen boykottiert das Fest ,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Rychie,2022-05-07 21:23:00+00:00,Dann einfach nicht gehen.,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Küstlerkollektivprimitivo,2022-05-07 21:16:00+00:00,Auf das Klaus Schwabfest kann ich sehr gerne verzichten !,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Mojito1,2022-05-07 20:56:00+00:00,"Bargeld? Ich glaube nur noch an Gold, habe ich immer bei mir - die Kontakte meiner Karte bestehen aus diesem edlen Material. ",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
RedSea-Diver,2022-05-07 20:51:00+00:00,"In Thun wäre es schön, für das Stadtfest kein Eintritt zu verlangen, welcher seit Jahren immer unverschämt teurer wird.",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Angel38,2022-05-07 20:37:00+00:00,"Schade, dass unser Geld nicht mehr geschätzt wird. Wir sollten unsere Währung zeigen und Stolz sein. ",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
YvesBerthod,2022-05-07 20:19:00+00:00,"""Wie verschiedene Studien zeigen, wird schlicht mehr konsumiert, wenn man nicht sieht, wie das Geld den Besitzer wechselt"". - Man könnte auch sagen, niedere Beweggründe der Veranstalter (es geht ihnen nur um mehr Gewinn).",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
DerNarristderMasstabderWeisen,2022-05-07 20:13:00+00:00,mit Karte gibt man mehr Geld aus...wurde mehrfach wissenschaftlich untersucht und bestätigt.,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Aussenspiegel,2022-05-07 20:10:00+00:00,Wir haben schon lange verpasst per Gesetz zu regeln dass jedes Produkt und jede Dienstleistung die an einem Ort und nicht im Internet erbracht wird ausnahmslos und ohne Zuschlag in Bar bezahlt werden kann. ,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
DerFussgänger,2022-05-07 20:09:00+00:00,"""Wie verschiedene Studien zeigen, wird schlicht mehr konsumiert, wenn man nicht sieht, wie das Geld den Besitzer wechselt. ""... Und genau das ist der Grund, warum man uns das Bargeld wegnehmen möchte. Ich nutze durchaus auch digitale Zahlungsmöglichkeiten, aber Bargeld MUSS bleiben, oder wir haben auf Dauer steigende Zahlen bei Überschuldung.",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Xenesthis,2022-05-07 20:05:00+00:00,Stromausfall.. Ach komm die meisten fahren doch e Auto.. Und da kommt der Strom auch aus der steckdose. ,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Gaby3086,2022-05-07 20:02:00+00:00,"Tja…. Bye bye Stadtfest,dann bleibe ich lieber Zuhause ",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Mr.Twinthorst,2022-05-07 20:02:00+00:00,hoffentlicht gibt es bei twint an dem Tag probleme...,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Dan4truth,2022-05-07 19:51:00+00:00,Schon mal an einen Stromausfall gedacht?,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Einhornjäger,2022-05-07 20:06:00+00:00,"@Dan4truth 
Ohne Strom läuft bei einem derartigen Fest so oder so nichts mehr.",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Mr_Mueller,2022-05-07 20:19:00+00:00,"@Dan4truth Ja, genau dann, wenn Du am Bankomat Bargeld beziehen willst. Dann bezahle ich mit Twint, das funktioniert auch bei Stromausfall ;-)",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Akinom19,2022-05-07 20:19:00+00:00,"@Dan4truth . Sie meinen, dann bekommt man die Kasse nicht auf und kann kein Wechselgeld rausgeben. ",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Faalke,2022-05-07 20:29:00+00:00,"@Dan4truth Bei einem Stromausfall funktioniert auch das Licht, Küche und Kasse nicht mehr. Zudem sind Kartenterminals mit Akku ausgestattet",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Bollm7,2022-05-07 22:34:00+00:00,"@Dan4truth naja dann läuft ausser dem grill sonst auch nix mehr ;) und wir sind in der schweiz, da sitzt man sehr selten im dunkeln :)",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
mimimi66,2022-05-07 19:50:00+00:00,"seit nur mit Karten bezahlt wird, bekomme ich weniger Trinkgeld, schade",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Mr_Mueller,2022-05-07 19:49:00+00:00,Vor ein paar Jahren am Openair Lumnezia konnte man nur mit einem aufladbaren Chip bezahlen. Es funktionierte einwandfrei und das Kassieren an den Bars ging doppelt so schnell wie mit Bargeld. ,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
YvesBerthod,2022-05-07 20:20:00+00:00,@Mr_Mueller - Es gibt die Veranstaltersicht - und die Gästesicht. Ohne Gäste - kein Fest.,com,https://www.20min.ch/comment/402438287701,402438287701.0,,
mimimi66,2022-05-07 19:48:00+00:00,"wenn das System (Kartenzahlung) eine Panne hat, werden vielen dankbar sein über Bargeld.....Twinnt hat immer wieder eine Panne",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
weirdSister,2022-05-07 19:43:00+00:00,"gesetzlich besteht eine Pflicht zur Annahme von Bargeld. davon können sich Vertragspartner auch entbinden. wird das nun unterlaufen, wie im Artikel beschrieben,  werde ich jede Initiative unterschreiben,  der die Annahmepflicht von Bargeld in die Verfassung schreibt.",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
Rempas,2022-05-07 19:39:00+00:00,"Tolle Idee, dann aber gleich jeweils den entsprechenden Zuschlag für die Zahlungsfienste ausweisen und dem Kunden verrechnen. Der Verursacher zahlt. Ganz einfach. Das sieht irgendwie so aus als hätten da einige Anbieter kräftig genetzwerkt um ihre Interessen durchzubekommen.",com,https://www.20min.ch/comment/402438287701,402438287701.0,,
